strain	genbank_accession	genbank_accession_rev	date	region	country	division	location	length	host	release_date	update_date	sra_accessions	abbr_authors	authors	institution	serotype_genbank	clade	qc.overallStatus	country_short
AB551991	AB551991	AB551991.1	1990-XX-XX	Asia	Japan	Tokyo		10968	Sus scrofa	2010-04-01	2010-04-01		Tajima et al	Tajima,S.,Takasaki,T.,Kurane,I.,Yoshida,Y.	Department of Virology I; 1-23-1 Tayama, Shinjuku, Tokyo 162-8640		3	good	JPN
MT764728	MT764728	MT764728.1		Asia	China			10984		2021-05-27	2021-05-27		Davis et al	Davis,E.H.,Beck,A.S.,Li,L.,White,M.M.,Banks-Greenberg,M.,Thompson,J.K.,Widen,S.G.,Barrett,A.D.T.,Bourne,N.	University of Texas Medical Branch, Pathology		3	good	CHN
MF326270	MF326270	MF326270.1		Asia	China			10977	Sus scrofa	2018-05-12	2018-05-12		Fan et al	Fan,S.	South China Agricultural University, College of Veterinary Medicine		3	good	CHN
LP981865	LP981865	LP981865.1						10976		2018-04-29	2018-04-29		BARBERO et al	BARBERO,C.J.,NEBENFUHR,M.,SCHLEGL,R.,WEBER,M.,WRUSS,J.			3	good	
OK257214	OK257214	OK257214.1		Asia	India			10864		2021-11-08	2021-11-08		Tripathi et al	Tripathi,A.,Banerjee,A.,Vrati,S.	Regional Centre for Biotechnology, Laboratory of Virology		3	good	IND
KU871357	KU871357	KU871357.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
KF667315	KF667315	KF667315.1	2009-XX-XX	Asia	Taiwan			10926	Culex tritaeniorhynchus	2014-10-01	2014-10-21		Su et al	Su,C.L.,Yang,C.F.,Teng,H.J.,Lu,L.C.,Lin,C.,Tsai,K.H.,Chen,Y.Y.,Chen,L.Y.,Chang,S.F.,Shu,P.Y.,Su,C.-L.,Yang,C.-F.,Lu,L.-C.,Teng,H.-J.,Tsai,K.-H.,Chang,M.-C.,Hu,H.-C.,Chen,Y.-Y.,Chen,L.-Y.,Chang,S.-F.,Shu,P.-Y.	Centers for Disease Control, Center for Research, Diagnostics and Vaccine Development		3	good	
JX050179	JX050179	JX050179.1	2008-08-XX	Asia	India	West Bengal		10934	Homo sapiens	2013-07-31	2017-06-29		Taraphdar et al	Taraphdar,D.,Chatterjee,S.,Sarkar,A.	ICMR Virus Unit, Kolkata, Arbovirology		3	good	IND
AF098736	AF098736	AF098736.1		Asia	Taiwan			10976	Aedes albopictus	1999-03-03	1999-02-08		Wu et al	Wu,C.N.	Academia Sinica, Institute of Biomedical Sciences		3	good	
KU871347	KU871347	KU871347.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
KF667312	KF667312	KF667312.1	2007-XX-XX	Asia	Taiwan			10926	Culex tritaeniorhynchus	2014-10-01	2014-10-21		Su et al	Su,C.L.,Yang,C.F.,Teng,H.J.,Lu,L.C.,Lin,C.,Tsai,K.H.,Chen,Y.Y.,Chen,L.Y.,Chang,S.F.,Shu,P.Y.,Su,C.-L.,Yang,C.-F.,Lu,L.-C.,Teng,H.-J.,Tsai,K.-H.,Chang,M.-C.,Hu,H.-C.,Chen,Y.-Y.,Chen,L.-Y.,Chang,S.-F.,Shu,P.-Y.	Centers for Disease Control, Center for Research, Diagnostics and Vaccine Development		3	good	
D90195	D90195	D90195.1						10976		1993-04-29	2007-12-07		Aihara et al	Aihara,S.,Rao,C.,Yu,Y.X.,Lee,T.,Watanabe,K.,Komiya,T.,Sumiyoshi,H.,Hashimoto,H.,Nomoto,A.			3	good	
JN381861	JN381861	JN381861.1						10977		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		3	good	
KU871348	KU871348	KU871348.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
KU705227	KU705227	KU705227.1	1984-06-18	Asia	Philippines	Santo Cristo		11024	Sus sp.	2017-03-25	2017-03-25		Guerbois et al	Guerbois,M.,Forrester,N.L.,Rossi,S.L.,Hari,K.,Lin,D.,Weaver,S.C.	University of Texas Medical Branch, Microbiology and Immunology		3	good	PHL
AF221499	AF221499	AF221499.1						10976		2000-02-14	2001-03-09		Wu et al	Wu,S.C.,Lee,S.C.,Lin,C.W.,Lian,W.C.,Liau,M.Y.	National Tsing Hua University, Department of Life Science		3	good	
KT447437	KT447437	KT447437.1	1969-XX-XX	Asia	South Korea			10977	Sus scrofa	2017-05-03	2017-05-03		Song et al	Song,B.-H.,Yun,S.-I.,Lee,Y.-M.	Utah State University, Department of Animal, Dairy, and Veterinary Sciences (ADVS)		3	good	
MT764730	MT764730	MT764730.1		Asia	China			10960		2021-05-27	2021-05-27		Davis et al	Davis,E.H.,Beck,A.S.,Li,L.,White,M.M.,Banks-Greenberg,M.,Thompson,J.K.,Widen,S.G.,Barrett,A.D.T.,Bourne,N.	University of Texas Medical Branch, Pathology		3	good	CHN
KU705229	KU705229	KU705229.1	1981-06-XX	Asia	Indonesia	Flores	Golok	11069	Culex tritaeniorhynchus	2017-03-25	2017-03-25		Guerbois et al	Guerbois,M.,Forrester,N.L.,Rossi,S.L.,Hari,K.,Lin,D.,Weaver,S.C.	University of Texas Medical Branch, Microbiology and Immunology		3	good	IDN
PP057999	PP057999	PP057999.1	2018-06-04	Europe	Spain			10289		2024-01-19	2024-01-29		Mendoza et al	Mendoza,P.,Ortiz-Alvarez,L.	Vircell S.A., I+D, Molecular Diagnostics		3	good	ESP
AB551990	AB551990	AB551990.1	1975-XX-XX	Asia	Japan	Tokyo		10977	Sus scrofa	2010-04-01	2010-04-01		Tajima et al	Tajima,S.,Takasaki,T.,Kurane,I.,Yoshida,Y.	Department of Virology I; 1-23-1 Tayama, Shinjuku, Tokyo 162-8640		3	good	JPN
MH753130	MH753130	MH753130.1	2016-07-15	Asia	China			10977	Anopheles sinensis	2019-01-09	2019-01-09		Xiao et al	Xiao,C.,Li,C.,Di,D.,Cappelle,J.,Liu,L.,Wang,X.,Pang,L.,Xu,J.,Liu,K.,Li,B.,Shao,D.,Qiu,Y.,Ren,W.,Widen,F.,Chevalier,V.,Wei,J.,Wu,X.,Ma,Z.,Wu,Y.,Lu,Y.	Shanghai Veterinary Research Institute, Chinese Academy of Agricultural Science, Department of Swine Infectious Disease		3	good	CHN
AB569988	AB569988	AB569988.2	1973-XX-XX	Asia	Japan	Okinawa	Okinawa Island	10977		2011-01-05	2014-03-27		Nidaira et al	Nidaira,M.,Kyan,H.,Taira,K.,Okano,S.,Itokazu,K.,Kudaka,J.,Tamanaha,K.,Takasaki,T.	Nanjo-city, Okinawa 901-1202		3	good	JPN
GQ902063	GQ902063	GQ902063.1		Asia	Thailand			10940	Culicidae	2010-10-04	2012-02-23		Carney et al	Carney,J.,Daly,J.M.,Nisalak,A.,Solomon,T.,Collett,J.	University of Nottingham, School of Vet Med & Sci		3	good	THA
JN381862	JN381862	JN381862.1						10977		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		3	good	
FJ185037	FJ185037	FJ185037.1	1997-XX-XX	Asia	China			10977	Murina aurata	2009-12-31	2009-12-31		Liang et al	Liang,G.,Wang,J.,Fu,S.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, The Department of Viral Encephalitis		3	good	CHN
AB569982	AB569982	AB569982.2	1975-XX-XX	Asia	Japan	Okinawa	Okinawa Island	10976	Sus scrofa	2011-01-05	2014-03-27		Nidaira et al	Nidaira,M.,Kyan,H.,Taira,K.,Okano,S.,Itokazu,K.,Kudaka,J.,Tamanaha,K.,Takasaki,T.	Nanjo-city, Okinawa 901-1202		3	good	JPN
KU871351	KU871351	KU871351.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
KX254417	KX254417	KX254417.1		Asia	China			10925		2017-07-26	2017-07-26		Beck et al	Beck,A.S.,Whiteman,M.,Thaxton,G.,Wood,T.G.,Widen,S.G.,Thompson,J.,Barrett,A.D.T.	University of Texas Medical Branch, Pathology		3	good	CHN
KU871349	KU871349	KU871349.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
KU871370	KU871370	KU871370.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
MH258849	MH258849	MH258849.1		Asia	China			10977		2018-07-14	2018-07-14		Liu et al	Liu,X.,Zhao,D.,Jia,L.,Xu,H.,Na,R.,Ge,Y.,Liu,S.,Yu,Y.,Li,Y.	National Institutes for Food and Drug Control, Department of Arbovirus Vaccine Research		3	good	CHN
ON379066	ON379066	ON379066.1	2019-07-15	Asia	India			10853	Homo sapiens	2024-05-04	2024-05-04		Prasad et al	Prasad,P.,Sudarshan,S.,Setty,R.,Hameed,S.,Vasanthapuram,R.,Pattabiraman,C.	National Institute of Mental Health and Neurosciences, Department of Neurovirology		3	good	IND
JQ086762	JQ086762	JQ086762.1	2009-09-01	Asia	China			10976	Culicidae	2012-03-03	2012-03-03		Liu et al	Liu,H.,Lu,H.J.,Liu,Z.J.,Jing,J.,Ren,J.Q.,Liu,Y.Y.,Lu,F.,Jin,N.Y.	Jilin University, College of Animal Science and Veterinary Medicine, Institute of Military Veterinary		3	good	CHN
KU871359	KU871359	KU871359.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
KU871316	KU871316	KU871316.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
KF711994	KF711994	KF711994.1	1975-XX-XX	Asia	South Korea			10299	Sus scrofa	2013-12-21	2013-12-21		Nah et al	Nah,J.,Yang,D.,Kim,H.,Song,J.	Animal and Plant Quarantine Agency, Animal and Plant Health Research		3	good	
KU871336	KU871336	KU871336.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
JF706273	JF706273	JF706273.1	2002-XX-XX	Asia	China			10977		2011-09-25	2011-09-25		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Zhang,H.	State Key Laboratory for Infectious Disease Prevention and Control, Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention		3	good	CHN
MH258851	MH258851	MH258851.1		Asia	China			10977		2018-07-14	2018-07-14		Liu et al	Liu,X.,Zhao,D.,Jia,L.,Xu,H.,Na,R.,Ge,Y.,Liu,S.,Yu,Y.,Li,Y.	National Institutes for Food and Drug Control, Department of Arbovirus Vaccine Research		3	good	CHN
KX779520	KX779520	KX779520.1	2016-02-12	Asia	China	Sichuan		10714	Sus scrofa	2016-10-03	2016-10-03		Zhuo et al	Zhuo,X.,Cai,Y.,Zhou,Y.	ANIMTECH, Livestock and Poultry Biological Products Key Laboratory of Sichuan Province		3	good	CHN
EF623987	EF623987	EF623987.1	2001-XX-XX	Asia	India	Up	Lakhimpur District	10976		2008-05-31	2011-09-16		Bondre et al	Bondre,V.P.,Sapakal,G.N.,Sankararaman,V.,Gore,M.M.,Ayachit,V.M.,Fulmali,P.V.	Microbial Containment Complex, National Institute of Virology, Japanese encephalitis/West Nile Virus Group		3	good	IND
AF075723	AF075723	AF075723.1						10976		1998-07-28	1999-07-22		Vrati et al	Vrati,S.,Agarwal,V.,Malik,P.,Wani,S.A.,Saini,M.,Giri,R.K.,Razdan,A.	National Institute of Immunology, Virology		3	good	
MN639770	MN639770	MN639770.1	2018-05-XX	Asia	China			10988	Homo sapiens	2019-12-17	2019-12-17		Sun et al	Sun,Q.,Li,L.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology		3	good	CHN
GQ918133	GQ918133	GQ918133.2						10961		2009-10-14	2010-05-25		Zhang et al	Zhang,Y.,Cao,R.,Gu,J.,Chen,P.	Nanjing Agriculture University, Key Laboratory of Animal Disease Diagnostic and Immunology, Ministry of Agriculture		3	good	
MH753128	MH753128	MH753128.1	2015-07-09	Asia	China			10976	Sus scrofa	2019-01-09	2019-01-09		Xiao et al	Xiao,C.,Li,C.,Di,D.,Cappelle,J.,Liu,L.,Wang,X.,Pang,L.,Xu,J.,Liu,K.,Li,B.,Shao,D.,Qiu,Y.,Ren,W.,Widen,F.,Chevalier,V.,Wei,J.,Wu,X.,Ma,Z.,Deng,X.	Shanghai Veterinary Research Institute, Chinese Academy of Agricultural Science, Department of Swine Infectious Disease		3	good	CHN
KU871333	KU871333	KU871333.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
KU871337	KU871337	KU871337.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
MT764732	MT764732	MT764732.1		Asia	China			10966		2021-05-27	2021-05-27		Davis et al	Davis,E.H.,Beck,A.S.,Li,L.,White,M.M.,Banks-Greenberg,M.,Thompson,J.K.,Widen,S.G.,Barrett,A.D.T.,Bourne,N.	University of Texas Medical Branch, Pathology		3	good	CHN
JN381866	JN381866	JN381866.1						10977		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		3	good	
KU821122	KU821122	KU821122.1	2015-02-02	Asia	China			10299		2016-10-16	2016-10-16		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
AY303796	AY303796	AY303796.1						10970		2004-06-01	2005-07-18		Chiou et al	Chiou,S.S.,Liu,H.,Chuang,C.K.,Lin,C.C.,Chen,W.J.,Chiou,S.-S.,Chen,W.-J.	Chang Gung University, Public Health and Parasitology		3	good	
KU871327	KU871327	KU871327.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
MT764731	MT764731	MT764731.1		Asia	China			10974		2021-05-27	2021-05-27		Davis et al	Davis,E.H.,Beck,A.S.,Li,L.,White,M.M.,Banks-Greenberg,M.,Thompson,J.K.,Widen,S.G.,Barrett,A.D.T.,Bourne,N.	University of Texas Medical Branch, Pathology		3	good	CHN
KU871324	KU871324	KU871324.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
AY303795	AY303795	AY303795.1						10970		2004-06-01	2004-06-01		Chiou et al	Chiou,S.-S.,Chen,W.-J.	Chang Gung University, Public Health and Parasitology		3	good	
AF069076	AF069076	AF069076.1						10977		1999-03-15	1999-03-08		Mangada et al	Mangada,M.N.,Takegami,T.,Mangada,M.N.M.	Medical Research Institute, Kanazawa Medical University, Department of Tropical Medicine		3	good	
OP588746	OP588746	OP588746.1	2020-10-XX	Asia	China			10977	Culicidae	2023-04-29	2023-04-29		Li et al	Li,C.,Li,Y.,Chen,X.,Zhang,L.	Yangzhou University, College of Veterinary Medicine		3	good	CHN
JN381867	JN381867	JN381867.1						10977		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		3	good	
LY683280	LY683280	LY683280.1						10976		2019-12-04	2019-12-04		Jones et al	Jones,F.R.,Balint,J.,Rice,A.,Latchman,Y.,Gabitzsch,E.			3	good	
KU871354	KU871354	KU871354.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
KU871342	KU871342	KU871342.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
KF667314	KF667314	KF667314.1	2010-XX-XX	Asia	Taiwan			10926	Culex tritaeniorhynchus	2014-10-01	2014-10-21		Su et al	Su,C.L.,Yang,C.F.,Teng,H.J.,Lu,L.C.,Lin,C.,Tsai,K.H.,Chen,Y.Y.,Chen,L.Y.,Chang,S.F.,Shu,P.Y.,Su,C.-L.,Yang,C.-F.,Lu,L.-C.,Teng,H.-J.,Tsai,K.-H.,Chang,M.-C.,Hu,H.-C.,Chen,Y.-Y.,Chen,L.-Y.,Chang,S.-F.,Shu,P.-Y.	Centers for Disease Control, Center for Research, Diagnostics and Vaccine Development		3	good	
AB196925	AB196925	AB196925.1						10977		2004-12-21	2005-07-23		Zhao et al	Zhao,Z.,Date,T.,Li,Y.,Kato,T.,Miyamoto,M.,Yasui,K.,Wakita,T.	Takanobu Kato, The Tokyo Metropolitan Institute for Neuroscience, Department of Microbiology; 2-6 Musashidai, Fuchu-shi, Tokyo 183-8526		3	good	
KY885009	KY885009	KY885009.1						10969		2017-10-10	2017-10-10		Sementsova et al	Sementsova,A.O.,Protopopova,E.V.,Kartashov,M.Y.,Konovalova,S.N.,Ternovoi,V.A.,Loktev,V.B.	State Research Center of Virology and Biotechnology 'Vector', Department of Molecular Virology for Flaviviruses and Viral Hepatitis		3	good	
JN381872	JN381872	JN381872.1						10977		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		3	good	
M18370	M18370	M18370.1						10976		1993-08-02	1995-11-15		Sumiyoshi et al	Sumiyoshi,H.,Mori,C.,Fuke,I.,Morita,K.,Kuhara,S.,Kondou,J.,Kikuchi,Y.,Nagamatu,H.,Igarashi,A.			3	good	
JN381868	JN381868	JN381868.1						10977		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		3	good	
AB569981	AB569981	AB569981.2	1975-XX-XX	Asia	Japan	Okinawa	Okinawa Island	10977	Sus scrofa	2011-01-05	2014-03-27		Nidaira et al	Nidaira,M.,Kyan,H.,Taira,K.,Okano,S.,Itokazu,K.,Kudaka,J.,Tamanaha,K.,Takasaki,T.	Nanjo-city, Okinawa 901-1202		3	good	JPN
KU871353	KU871353	KU871353.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
KC517497	KC517497	KC517497.1		Asia				10863		2013-08-14	2013-08-14		Dugan et al	Dugan,V.G.,Halpin,R.,Fedorova,N.,Tsitrin,T.,McLellan,M.,Stockwell,T.,Amedeo,P.,Appalla,L.,Bishop,B.,Edworthy,P.,Gupta,N.,Hoover,J.,Katzel,D.,Li,K.,Schobel,S.,Shrivastava,S.,Thovarai,V.,Wang,S.,Forrester,N.,Gorchakov,R.,Weaver,S.,Wentworth,D.E.,Tesh,R.	J. Craig Venter Institute		3	good	
KU871368	KU871368	KU871368.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
AY303793	AY303793	AY303793.1						10970		2004-06-01	2005-07-18		Chiou et al	Chiou,S.S.,Liu,H.,Chuang,C.K.,Lin,C.C.,Chen,W.J.,Chiou,S.-S.,Chen,W.-J.	Chang Gung University, Public Health and Parasitology		3	good	
KU871323	KU871323	KU871323.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
NC_001437	NC_001437	NC_001437.1						10976		1993-08-02	2019-05-24		Moureau et al	Moureau,G.,Cook,S.,Lemey,P.,Nougairede,A.,Forrester,N.L.,Khasnatinov,M.,Charrel,R.N.,Firth,A.E.,Gould,E.A.,de Lamballerie,X.,Melian,E.B.,Hinzman,E.,Nagasaki,T.,Wills,N.M.,Nouwens,A.S.,Blitvich,B.J.,Leung,J.,Funk,A.,Atkins,J.F.,Hall,R.,Khromykh,A.A.,Sumiyoshi,H.,Mori,C.,Fuke,I.,Morita,K.,Kuhara,S.,Kondou,J.,Kikuchi,Y.,Nagamatu,H.,Igarashi,A.	National Center for Biotechnology Information, NIH		3	good	
MT764727	MT764727	MT764727.1	1980-04-22	Asia	China			10967	Culex pipiens	2021-05-27	2021-05-27		Davis et al	Davis,E.H.,Beck,A.S.,Li,L.,White,M.M.,Banks-Greenberg,M.,Thompson,J.K.,Widen,S.G.,Barrett,A.D.T.,Bourne,N.	University of Texas Medical Branch, Pathology		3	good	CHN
AY303797	AY303797	AY303797.1						10970		2004-06-01	2005-07-18		Chiou et al	Chiou,S.S.,Liu,H.,Chuang,C.K.,Lin,C.C.,Chen,W.J.,Chiou,S.-S.,Chen,W.-J.	Chang Gung University, Public Health and Parasitology		3	good	
KU871366	KU871366	KU871366.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
LP837640	LP837640	LP837640.1						10863		2018-04-29	2018-04-29		SCHLEGL et al	SCHLEGL,R.,NEBENFUHR,M.,WEBER,M.,WRUSS,J.			3	good	
AY585243	AY585243	AY585243.1		Asia	South Korea			10968		2004-04-28	2004-04-28		Yun et al	Yun,S.I.,Kim,S.Y.,Rice,C.M.,Lee,Y.M.,Yun,S.-I.,Kim,S.-Y.,Lee,Y.-M.	Chungbuk National University, School of Medicine, Department of Microbiology		3	good	
MW766363	MW766363	MW766363.1	2019-XX-XX	Asia	China			10927		2022-08-01	2022-08-01		Yan et al	Yan,Y.	Wuhan Institute of Virology, Chinese Academy of Sciences, Computational Virology Group, Center of Bacteria and Viruses Resources and Bioinformation		3	good	CHN
JF706269	JF706269	JF706269.1	1950-XX-XX	Asia	China			10977		2011-09-25	2011-09-25		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Zhang,H.	State Key Laboratory for Infectious Disease Prevention and Control, Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention		3	good	CHN
LP981863	LP981863	LP981863.1						10863		2018-04-29	2018-04-29		BARBERO et al	BARBERO,C.J.,NEBENFUHR,M.,SCHLEGL,R.,WEBER,M.,WRUSS,J.			3	good	
ON379076	ON379076	ON379076.1	2019-05-21	Asia	India			10546	Homo sapiens	2024-05-04	2024-05-04		Prasad et al	Prasad,P.,Sudarshan,S.,Setty,R.,Hameed,S.,Pattabiraman,C.	National Institute of Mental Health and Neurosciences, Department of Neurovirology		3	good	IND
AF221500	AF221500	AF221500.1						10976		2000-02-14	2001-03-09		Wu et al	Wu,S.C.,Lee,S.C.,Lin,C.W.,Lian,W.C.,Liau,M.Y.	National Tsing Hua University, Department of Life Science		3	good	
KU871371	KU871371	KU871371.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
