strain	genbank_accession	genbank_accession_rev	date	region	country	division	location	length	host	release_date	update_date	sra_accessions	abbr_authors	authors	institution	serotype_genbank	clade	qc.overallStatus	country_short
KF667316	KF667316	KF667316.1	2008-XX-XX	Asia	Taiwan			10914	Culex tritaeniorhynchus	2014-10-01	2014-10-21		Su et al	Su,C.L.,Yang,C.F.,Teng,H.J.,Lu,L.C.,Lin,C.,Tsai,K.H.,Chen,Y.Y.,Chen,L.Y.,Chang,S.F.,Shu,P.Y.,Su,C.-L.,Yang,C.-F.,Lu,L.-C.,Teng,H.-J.,Tsai,K.-H.,Chang,M.-C.,Hu,H.-C.,Chen,Y.-Y.,Chen,L.-Y.,Chang,S.-F.,Shu,P.-Y.	Centers for Disease Control, Center for Research, Diagnostics and Vaccine Development		1	good	
JN381849	JN381849	JN381849.1						10965		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		1	good	
MH165313	MH165313	MH165313.1	2017-09-XX	Asia	China			10965	Phocidae	2018-11-06	2018-11-06		Sun et al	Sun,M.,Qiao,M.,Li,X.,Deng,X.,Chen,X.,Sun,S.,Zhang,Q.,Zhang,W.,Tian,K.	Beijing Anheal Laboratories Co. Ltd, R & D Center		1	good	CHN
MN544780	MN544780	MN544780.1	2019-XX-XX	Asia	China			10965	Sus scrofa	2020-04-07	2020-04-07		Wei et al	Wei,J.,Anwar,M.N.,Ma,Z.	Shanghai Veterinary Research Institute, Chinese Academy of Agricultural Science, Department of Swine Infectious Disease		1	good	CHN
OM572535	OM572535	OM572535.1	2016-XX-XX	Asia	China	Shandong		10936	Culicidae	2023-01-16	2023-01-16		Li et al	Li,F.,Zhang,W.,Fu,S.,Yin,Q.,Wang,H.	Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention		1	good	CHN
MH184570	MH184570	MH184570.1	2017-XX-XX	Asia	China			10968	Culex tritaeniorhynchus	2019-04-30	2019-04-30		De et al	De,W.,Qiqi,T.,Huan,Z.,Xin,Z.,Huiqiong,Z.	Institue of Pathogenic Microbiology, Guangdong Provincial Center for Disease Control and Prevention		1	good	CHN
EU880214	EU880214	EU880214.1	2007-07-XX	Asia	China			10964	Culex pipiens pallens	2008-08-13	2008-08-13		Xie et al	Xie,R.H.,Zhu,H.P.,Xu,F.,Yao,P.P.,Zhu,Z.Y.	Key Lab of Vaccine Against Hemorrhagic Fever with Renal Syndrome, Zhejiang Provincial Center for Disease Prevention and Control		1	good	CHN
AB830335	AB830335	AB830335.1	2009-XX-XX	Asia	Japan	Miyazaki		10965	Bos taurus	2013-07-10	2013-09-27		Katayama et al	Katayama,T.,Saito,S.,Horiuchi,S.,Maruta,T.,Kato,T.,Yanase,T.,Yamakawa,M.,Shirafuji,H.	Kyushu Research Station; 2702 Chuzan, Kagoshima, Kagoshima 891-0105		1	good	JPN
AB920399	AB920399	AB920399.1	2012-07-02	Asia	Japan	Okinawa		10956	Sus scrofa	2014-04-04	2014-04-04		Nidaira et al	Nidaira,M.,Kyan,H.,Taira,K.,Takara,T.,Okano,S.,Kudaka,J.	Department of Biological Science; 2085 Ozato, Nanjo, Okinawa 901-1202		1	good	JPN
LC556228	LC556228	LC556228.1	2006-09-XX	Asia	Japan	Kochi		10850	Sus scrofa domesticus	2020-07-14	2020-07-14		Matsui et al	Matsui,K.,Tajima,S.,Lim,K.C.,Kubo,H.,Nagayasu,S.,Daibata,M.,Takasaki,T.,Tanaka,M.	Medical Technology; 1-17-71 Fuchinobe, Chuo-ku, Sagamihara-shi, Kanagawa 252-5201		1	good	JPN
OM572540	OM572540	OM572540.1	2019-XX-XX	Asia	China	Shaanxi		10968	Culicidae	2023-01-16	2023-01-16		Li et al	Li,F.,Fu,S.,Yin,Q.,Wang,H.	Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention		1	good	CHN
KF667320	KF667320	KF667320.1	2009-XX-XX	Asia	Taiwan			10914	Culex tritaeniorhynchus	2014-10-01	2014-10-21		Su et al	Su,C.L.,Yang,C.F.,Teng,H.J.,Lu,L.C.,Lin,C.,Tsai,K.H.,Chen,Y.Y.,Chen,L.Y.,Chang,S.F.,Shu,P.Y.,Su,C.-L.,Yang,C.-F.,Lu,L.-C.,Teng,H.-J.,Tsai,K.-H.,Chang,M.-C.,Hu,H.-C.,Chen,Y.-Y.,Chen,L.-Y.,Chang,S.-F.,Shu,P.-Y.	Centers for Disease Control, Center for Research, Diagnostics and Vaccine Development		1	good	
JN381852	JN381852	JN381852.1						10965		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		1	good	
KU351667	KU351667	KU351667.1	2010-08-12	Asia	China	Sichuan Province		10965	Culicidae	2016-06-01	2016-06-01		Yue et al	Yue,H.,Tian,G.,Wen,X.,Cao,S.,Wu,R.,Liu,H.,Feng,Y.,Cao,Y.	Sichuan Agricultural University, Preventive Veterinary Medicine		1	good	CHN
AB471666	AB471666	AB471666.2	2008-06-09	Asia	Japan	Okinawa	Okinawa Island	10965	Sus scrofa	2008-11-29	2014-03-27		Nidaira et al	Nidaira,M.,Taira,K.,Okano,S.,Itokazu,K.,Kudaka,J.,Nakamura,M.	Nanjo, Okinawa 901-1202		1	good	JPN
KT229574	KT229574	KT229574.1	2009-07-XX	Asia	China	Yunnan Province		10967	Culex tritaeniorhynchus	2015-09-09	2015-09-09		Sun et al	Sun,Y.J.,Feng,Y.,Zhang,Y.Z.,Yang,W.H.,Zhang,H.L.	Yunnan Institute of Endemic Disease Control and Prevention		1	good	CHN
OM572541	OM572541	OM572541.1	2018-XX-XX	Asia	China	Shaanxi		10968	Culicidae	2023-01-16	2023-01-16		Li et al	Li,F.,Fu,S.,Yin,Q.,Wang,H.	Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention		1	good	CHN
MH184567	MH184567	MH184567.1	2017-XX-XX	Asia	China			10966	Culex tritaeniorhynchus	2019-04-30	2019-04-30		De et al	De,W.,Qiqi,T.,Huan,Z.,Xin,Z.,Huiqiong,Z.	Institue of Pathogenic Microbiology, Guangdong Provincial Center for Disease Control and Prevention		1	good	CHN
AB471669	AB471669	AB471669.2	2008-08-11	Asia	Japan	Okinawa	Okinawa Island	10965	Sus scrofa	2008-11-29	2014-03-27		Nidaira et al	Nidaira,M.,Taira,K.,Okano,S.,Itokazu,K.,Kudaka,J.,Nakamura,M.	Nanjo, Okinawa 901-1202		1	good	JPN
JN381845	JN381845	JN381845.1						10965		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		1	good	
JF706274	JF706274	JF706274.1	2008-XX-XX	Asia	China			10965	Culex tritaeniorhynchus	2011-09-25	2011-09-25		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Zhang,H.	State Key Laboratory for Infectious Disease Prevention and Control, Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention		1	good	CHN
JF706282	JF706282	JF706282.1	1983-XX-XX	Asia	China			10965	Forcipomyia taiwana	2011-09-25	2011-09-25		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Zhang,H.	State Key Laboratory for Infectious Disease Prevention and Control, Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention		1	good	CHN
KF667318	KF667318	KF667318.1	2009-XX-XX	Asia	Taiwan			10914	Culex tritaeniorhynchus	2014-10-01	2014-10-21		Su et al	Su,C.L.,Yang,C.F.,Teng,H.J.,Lu,L.C.,Lin,C.,Tsai,K.H.,Chen,Y.Y.,Chen,L.Y.,Chang,S.F.,Shu,P.Y.,Su,C.-L.,Yang,C.-F.,Lu,L.-C.,Teng,H.-J.,Tsai,K.-H.,Chang,M.-C.,Hu,H.-C.,Chen,Y.-Y.,Chen,L.-Y.,Chang,S.-F.,Shu,P.-Y.	Centers for Disease Control, Center for Research, Diagnostics and Vaccine Development		1	good	
JN381838	JN381838	JN381838.1						10965		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		1	good	
JN381847	JN381847	JN381847.1						10965		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		1	good	
KY927816	KY927816	KY927816.1	2015-07-07	Asia	Cambodia			10928	Homo sapiens	2017-09-05	2017-09-05		Duong et al	Duong,V.,Choeung,R.,Gorman,C.,Laurent,D.,Crabol,Y.,Mey,C.,Peng,B.,Di Francesco,J.,Hul,V.,Sothy,H.,Santy,K.,Richner,B.,Pommier,J.D.,Sorn,S.,Chevalier,V.,Buchy,P.,de Lamballerie,X.,Cappelle,J.,Horwood,P.F.,Dussart,P.,Pheng,B.,Francesco,J.D.,Seng,S.,Ky,S.,de Lamballerie,X.X.,Horwood,P.	Institut Pasteur du Cambodge, Virology		1	good	KHM
JQ031753	JQ031753	JQ031753.1	2010-07-29	Asia	Taiwan			10965	Culicidae	2012-11-24	2012-11-24		Lu et al	Lu,Y.-H.,Chang,R.-Y.	National Dong Hwa University, Life Science		1	good	
LC798352	LC798352	LC798352.1	2020-08-18	Asia	Japan	Kochi		10730	Sus scrofa	2024-02-10	2024-02-10		Matsui et al	Matsui,K.,Tajima,S.,Lim,C.K.	Department of Medical Technology, School of Life and Environmental Science; 1-17-1 Fuchinobe Chuouku, Sagamihara, Kanagawa 252-5201		1	good	JPN
MH184574	MH184574	MH184574.1	2017-XX-XX	Asia	China			10956	Culex tritaeniorhynchus	2019-04-30	2019-04-30		De et al	De,W.,Qiqi,T.,Huan,Z.,Xin,Z.,Huiqiong,Z.	Institue of Pathogenic Microbiology, Guangdong Provincial Center for Disease Control and Prevention		1	good	CHN
OM572545	OM572545	OM572545.1	2018-XX-XX	Asia	China	Liaoning		10969	Culicidae	2023-01-16	2023-01-16		Li et al	Li,F.,Fu,S.,Wang,Z.,Yan,J.,Liang,L.,Wang,H.	Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention		1	good	CHN
KF667317	KF667317	KF667317.1	2008-XX-XX	Asia	Taiwan			10914	Culex tritaeniorhynchus	2014-10-01	2014-10-21		Su et al	Su,C.L.,Yang,C.F.,Teng,H.J.,Lu,L.C.,Lin,C.,Tsai,K.H.,Chen,Y.Y.,Chen,L.Y.,Chang,S.F.,Shu,P.Y.,Su,C.-L.,Yang,C.-F.,Lu,L.-C.,Teng,H.-J.,Tsai,K.-H.,Chang,M.-C.,Hu,H.-C.,Chen,Y.-Y.,Chen,L.-Y.,Chang,S.-F.,Shu,P.-Y.	Centers for Disease Control, Center for Research, Diagnostics and Vaccine Development		1	good	
KT957419	KT957419	KT957419.1	2007-07-XX	Asia	China	Yunnan Province		10965	Culex tritaeniorhynchus	2016-04-15	2016-04-19		Feng et al	Feng,Y.,Zhang,H.L.,Fu,S.H.,Li,M.H.,Wang,H.Y.,Liang,G.D.	Yunnan Institute of Endemic Disease Control and Prevention		1	good	CHN
KF667324	KF667324	KF667324.1	2012-XX-XX	Asia	Taiwan			10914	Homo sapiens	2014-10-01	2014-10-21		Su et al	Su,C.L.,Yang,C.F.,Teng,H.J.,Lu,L.C.,Lin,C.,Tsai,K.H.,Chen,Y.Y.,Chen,L.Y.,Chang,S.F.,Shu,P.Y.,Su,C.-L.,Yang,C.-F.,Lu,L.-C.,Teng,H.-J.,Tsai,K.-H.,Chang,M.-C.,Hu,H.-C.,Chen,Y.-Y.,Chen,L.-Y.,Chang,S.-F.,Shu,P.-Y.	Centers for Disease Control, Center for Research, Diagnostics and Vaccine Development		1	good	
JF706286	JF706286	JF706286.1	2009-XX-XX	Asia	China			10965	Culex tritaeniorhynchus	2011-09-25	2011-09-25		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Zhang,H.	State Key Laboratory for Infectious Disease Prevention and Control, Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention		1	good	CHN
KY927819	KY927819	KY927819.1	2013-05-19	Asia	Cambodia			10864	Homo sapiens	2017-09-05	2017-09-05		Duong et al	Duong,V.,Choeung,R.,Gorman,C.,Laurent,D.,Crabol,Y.,Mey,C.,Peng,B.,Di Francesco,J.,Hul,V.,Sothy,H.,Santy,K.,Richner,B.,Pommier,J.D.,Sorn,S.,Chevalier,V.,Buchy,P.,de Lamballerie,X.,Cappelle,J.,Horwood,P.F.,Dussart,P.,Pheng,B.,Francesco,J.D.,Seng,S.,Ky,S.,de Lamballerie,X.X.,Horwood,P.	Institut Pasteur du Cambodge, Virology		1	good	KHM
KY927817	KY927817	KY927817.1	2015-07-10	Asia	Cambodia			10897	Sus scrofa	2017-09-05	2017-09-05		Duong et al	Duong,V.,Choeung,R.,Gorman,C.,Laurent,D.,Crabol,Y.,Mey,C.,Peng,B.,Di Francesco,J.,Hul,V.,Sothy,H.,Santy,K.,Richner,B.,Pommier,J.D.,Sorn,S.,Chevalier,V.,Buchy,P.,de Lamballerie,X.,Cappelle,J.,Horwood,P.F.,Dussart,P.,Pheng,B.,Francesco,J.D.,Seng,S.,Ky,S.,de Lamballerie,X.X.,Horwood,P.	Institut Pasteur du Cambodge, Virology		1	good	KHM
AY316157	AY316157	AY316157.1						10963		2003-06-24	2003-06-24		Yang et al	Yang,D.K.,Kim,B.H.,Kwon,J.H.,Han,H.R.	National Veterinary Research and Quarantine Service, Virology		1	good	
KU508409	KU508409	KU508409.1	2012-08-XX	Asia	China			10965	Sus scrofa	2016-07-27	2016-07-27		Tian et al	Tian,G.,Huang,X.,Cao,S.,Wu,R.,Liu,H.	Sichuan Agricultural University, Preventive Veterinary Medicine		1	good	CHN
MT253732	MT253732	MT253732.1	2000-XX-XX	Oceania	Australia	Torres Strait		10966	Sus scrofa	2020-07-07	2020-07-07		Pyke et al	Pyke,A.T.,Lee,J.	Queensland Health Forensic and Scientific Services, Public Health Virology		1	good	AUS
MH753133	MH753133	MH753133.1	2016-06-14	Asia	China			10965	Culex tritaeniorhynchus	2019-01-09	2019-01-09		Xiao et al	Xiao,C.,Li,C.,Di,D.,Cappelle,J.,Liu,L.,Wang,X.,Pang,L.,Xu,J.,Liu,K.,Li,B.,Shao,D.,Qiu,Y.,Ren,W.,Widen,F.,Chevalier,V.,Wei,J.,Wu,X.,Ma,Z.,Wu,Y.,Lu,Y.	Shanghai Veterinary Research Institute, Chinese Academy of Agricultural Science, Department of Swine Infectious Disease		1	good	CHN
KF667323	KF667323	KF667323.1	2012-XX-XX	Asia	Taiwan			10914	Culex tritaeniorhynchus	2014-10-01	2014-10-21		Su et al	Su,C.L.,Yang,C.F.,Teng,H.J.,Lu,L.C.,Lin,C.,Tsai,K.H.,Chen,Y.Y.,Chen,L.Y.,Chang,S.F.,Shu,P.Y.,Su,C.-L.,Yang,C.-F.,Lu,L.-C.,Teng,H.-J.,Tsai,K.-H.,Chang,M.-C.,Hu,H.-C.,Chen,Y.-Y.,Chen,L.-Y.,Chang,S.-F.,Shu,P.-Y.	Centers for Disease Control, Center for Research, Diagnostics and Vaccine Development		1	good	
OM572542	OM572542	OM572542.1	2017-XX-XX	Asia	China	Yunnan		10965	Culicidae	2023-01-16	2023-01-16		Li et al	Li,F.,Feng,Y.,Fu,S.,Liang,G.,Wang,H.	Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention		1	good	CHN
MT254426	MT254426	MT254426.1	2018-09-05	Asia	China	Fuyu Village	Beihai Township, Yunan Province	10953	Culex tritaeniorhynchus	2021-05-30	2021-05-30		Fang et al	Fang,Y.,Li,X.S.,Zhang,W.,Xue,J.B.,Wang,J.Z.,Yin,S.Q.,Li,S.G.,Li,X.H.,Zhang,Y.	National Institute of Parasitic Diseases (NIPD), Chinese Center for Disease Control and Prevention (China CDC), Dept. of Vector-borne Tropical Disease		1	good	CHN
LC789557	LC789557	LC789557.1	2017-08-14	Asia	Japan	Kochi		10640	Sus scrofa	2023-12-07	2023-12-07		Matsui et al	Matsui,K.,Tajima,S.,Lim,C.K.	Department of Medical Technology, School of Life and Environmental Science; 1-17-1 Fuchinobe Chuouku, Sagamihara, Kanagawa 252-5201		1	good	JPN
PP682372	PP682372	PP682372.1	2022-04-26	Asia	China	Hainan		10299	Culex	2024-05-05	2024-05-05		Wu et al	Wu,Q.,Sun,D.,Zaman,W.,Wang,F.,Wang,S.,Liu,Y.,Liu,P.,Zeng,X.,Yuan,Z.,Xia,H.	Wuhan Institute of Virology, Chinese Academic and Science, Key Laboratory of Virology and Biosafety		1	good	CHN
JN381832	JN381832	JN381832.1						10965		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		1	good	
AB241118	AB241118	AB241118.1		Asia	Japan	Mie		10965		2005-11-11	2009-01-10		Tajima et al	Tajima,S.,Nerome,R.,Takasaki,T.,Kurane,I.	Virology 1; Toyama 1-23-1, Shinjuku, Tokyo 162-8640		1	good	JPN
KT957422	KT957422	KT957422.1	1977-XX-XX	Asia	China	Yunnan Province		10965	Culex pseudovishnui	2016-04-15	2016-04-19		Feng et al	Feng,Y.,Li,C.,Zhang,Y.Z.,Yang,W.H.,Zhang,H.L.	Yunnan Institute of Endemic Disease Control and Prevention		1	good	CHN
MT859415	MT859415	MT859415.1	2009-XX-XX	Asia	India			10965	Homo sapiens	2022-04-09	2022-04-09		Bondre et al	Bondre,V.P.,Pavitrakar,D.V.,Mali,D.N.	ICMR-National Institute of Virology, Encephalitis Group		1	good	IND
MH184576	MH184576	MH184576.1	2017-XX-XX	Asia	China			10956	Culex tritaeniorhynchus	2019-04-30	2019-04-30		De et al	De,W.,Qiqi,T.,Huan,Z.,Xin,Z.,Huiqiong,Z.	Institue of Pathogenic Microbiology, Guangdong Provincial Center for Disease Control and Prevention		1	good	CHN
JN381840	JN381840	JN381840.1						10965		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		1	good	
OM572543	OM572543	OM572543.1	2017-XX-XX	Asia	China	Yunnan		10955	Culicidae	2023-01-16	2023-01-16		Li et al	Li,F.,Feng,Y.,Fu,S.,Liang,G.,Wang,H.	Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention		1	good	CHN
MH753127	MH753127	MH753127.1	2015-08-20	Asia	China			10965	Sus scrofa	2019-01-09	2019-01-09		Xiao et al	Xiao,C.,Li,C.,Di,D.,Cappelle,J.,Liu,L.,Wang,X.,Pang,L.,Xu,J.,Liu,K.,Li,B.,Shao,D.,Qiu,Y.,Ren,W.,Widen,F.,Chevalier,V.,Wei,J.,Wu,X.,Ma,Z.,Wu,Y.,Lu,Y.	Shanghai Veterinary Research Institute, Chinese Academy of Agricultural Science, Department of Swine Infectious Disease		1	good	CHN
LC786330	LC786330	LC786330.1	2023-07-04	Asia	Japan	Kochi		10898	Sus scrofa domesticus	2023-11-14	2023-11-14		Matsui et al	Matsui,K.,Tajima,S.,Lim,C.K.	Department of Medical Technology, School of Life and Environmental Science; 1-17-1 Fuchinobe Chuouku, Sagamihara, Kanagawa 252-5201		1	good	JPN
KU508408	KU508408	KU508408.1	2012-08-XX	Asia	China			10965	Sus scrofa	2016-07-27	2016-07-27		Tian et al	Tian,G.,Huang,X.,Cao,S.,Wu,R.,Liu,H.	Sichuan Agricultural University, Preventive Veterinary Medicine		1	good	CHN
MH184571	MH184571	MH184571.1	2017-XX-XX	Asia	China			10967	Culex tritaeniorhynchus	2019-04-30	2019-04-30		De et al	De,W.,Qiqi,T.,Huan,Z.,Xin,Z.,Huiqiong,Z.	Institue of Pathogenic Microbiology, Guangdong Provincial Center for Disease Control and Prevention		1	good	CHN
GQ902060	GQ902060	GQ902060.1		Asia	Thailand			10942	Culicidae	2010-10-04	2012-02-23		Carney et al	Carney,J.,Daly,J.M.,Nisalak,A.,Solomon,T.,Collett,J.	University of Nottingham, School of Vet Med & Sci		1	good	THA
OM572548	OM572548	OM572548.1	2018-XX-XX	Asia	China	Liaoning		10964	Culicidae	2023-01-16	2023-01-16		Li et al	Li,F.,Fu,S.,Wang,Z.,Yan,J.,Liang,L.,Wang,H.	Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention		1	good	CHN
OM572539	OM572539	OM572539.1	2019-XX-XX	Asia	China	Gansu		10968	Culicidae	2023-01-16	2023-01-16		Li et al	Li,F.,Fu,S.,Yin,Q.,Wang,H.	Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention		1	good	CHN
AB471668	AB471668	AB471668.2	2008-08-04	Asia	Japan	Okinawa	Okinawa Island	10965	Sus scrofa	2008-11-29	2014-03-27		Nidaira et al	Nidaira,M.,Taira,K.,Okano,S.,Itokazu,K.,Kudaka,J.,Nakamura,M.	Nanjo, Okinawa 901-1202		1	good	JPN
GQ902059	GQ902059	GQ902059.1		Asia	Thailand			10942	Homo sapiens	2010-10-04	2012-02-23		Carney et al	Carney,J.,Daly,J.M.,Nisalak,A.,Solomon,T.,Collett,J.	University of Nottingham, School of Vet Med & Sci		1	good	THA
AB471667	AB471667	AB471667.2	2008-07-07	Asia	Japan	Okinawa	Okinawa Island	10965	Sus scrofa	2008-11-29	2014-03-27		Nidaira et al	Nidaira,M.,Taira,K.,Okano,S.,Itokazu,K.,Kudaka,J.,Nakamura,M.	Nanjo, Okinawa 901-1202		1	good	JPN
OM572546	OM572546	OM572546.1	2017-XX-XX	Asia	China	Guangxi		10965	Culicidae	2023-01-16	2023-01-16		Li et al	Li,F.,Fu,S.,Wang,Z.,Yan,J.,Liang,L.,Wang,H.	Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention		1	good	CHN
KF667326	KF667326	KF667326.1	2012-XX-XX	Asia	Taiwan			10914	Culex tritaeniorhynchus	2014-10-01	2014-10-21		Su et al	Su,C.L.,Yang,C.F.,Teng,H.J.,Lu,L.C.,Lin,C.,Tsai,K.H.,Chen,Y.Y.,Chen,L.Y.,Chang,S.F.,Shu,P.Y.,Su,C.-L.,Yang,C.-F.,Lu,L.-C.,Teng,H.-J.,Tsai,K.-H.,Chang,M.-C.,Hu,H.-C.,Chen,Y.-Y.,Chen,L.-Y.,Chang,S.-F.,Shu,P.-Y.	Centers for Disease Control, Center for Research, Diagnostics and Vaccine Development		1	good	
OM572538	OM572538	OM572538.1	2019-XX-XX	Asia	China	Shandong		10968	Culicidae	2023-01-16	2023-01-16		Li et al	Li,F.,Zhang,W.,Fu,S.,Yin,Q.,Wang,H.	Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention		1	good	CHN
