strain	genbank_accession	genbank_accession_rev	date	region	country	division	location	length	host	release_date	update_date	clade_membership	sra_accessions	abbr_authors	authors	institution
MN403082	MN403082	MN403082.1	2019-08-05	Asia	China	Zhejiang		1500	Culex tritaeniorhynchus	2019-11-03	2019-11-03			Yan et al	Yan,J.-Y.,Deng,X.,Sun,Y.,Yan,R.,Mao,H.-Y.,Pan,J.-H.	Center for Disease Control and Prevention of Zhejiang Province, Virus Institute
MN403081	MN403081	MN403081.1	2019-08-05	Asia	China	Zhejiang		1500	Culex tritaeniorhynchus	2019-11-03	2019-11-03			Yan et al	Yan,J.-Y.,Deng,X.,Sun,Y.,Yan,R.,Mao,H.-Y.,Pan,J.-H.	Center for Disease Control and Prevention of Zhejiang Province, Virus Institute
MN403080	MN403080	MN403080.1	2019-08-05	Asia	China	Zhejiang		1500	Culex tritaeniorhynchus	2019-11-03	2019-11-03			Yan et al	Yan,J.-Y.,Deng,X.,Sun,Y.,Yan,R.,Mao,H.-Y.,Pan,J.-H.	Center for Disease Control and Prevention of Zhejiang Province, Virus Institute
MN403079	MN403079	MN403079.1	2019-08-05	Asia	China	Zhejiang		1500	Culex tritaeniorhynchus	2019-11-03	2019-11-03			Yan et al	Yan,J.-Y.,Deng,X.,Sun,Y.,Yan,R.,Mao,H.-Y.,Pan,J.-H.	Center for Disease Control and Prevention of Zhejiang Province, Virus Institute
MN403078	MN403078	MN403078.1	2019-08-05	Asia	China	Zhejiang		1500	Culex tritaeniorhynchus	2019-11-03	2019-11-03			Yan et al	Yan,J.-Y.,Deng,X.,Sun,Y.,Yan,R.,Mao,H.-Y.,Pan,J.-H.	Center for Disease Control and Prevention of Zhejiang Province, Virus Institute
MN403077	MN403077	MN403077.1	2019-08-05	Asia	China	Zhejiang		1500	Culex tritaeniorhynchus	2019-11-03	2019-11-03			Yan et al	Yan,J.-Y.,Deng,X.,Sun,Y.,Yan,R.,Mao,H.-Y.,Pan,J.-H.	Center for Disease Control and Prevention of Zhejiang Province, Virus Institute
MN403076	MN403076	MN403076.1	2019-08-05	Asia	China	Zhejiang		1500	Culex tritaeniorhynchus	2019-11-03	2019-11-03			Yan et al	Yan,J.-Y.,Deng,X.,Sun,Y.,Yan,R.,Mao,H.-Y.,Pan,J.-H.	Center for Disease Control and Prevention of Zhejiang Province, Virus Institute
MN403075	MN403075	MN403075.1	2019-08-05	Asia	China	Zhejiang		1500	Culex tritaeniorhynchus	2019-11-03	2019-11-03			Yan et al	Yan,J.-Y.,Deng,X.,Sun,Y.,Yan,R.,Mao,H.-Y.,Pan,J.-H.	Center for Disease Control and Prevention of Zhejiang Province, Virus Institute
MN403074	MN403074	MN403074.1	2019-08-05	Asia	China	Zhejiang		1500	Culex tritaeniorhynchus	2019-11-03	2019-11-03			Yan et al	Yan,J.-Y.,Deng,X.,Sun,Y.,Yan,R.,Mao,H.-Y.,Pan,J.-H.	Center for Disease Control and Prevention of Zhejiang Province, Virus Institute
MN403073	MN403073	MN403073.1	2019-08-05	Asia	China	Zhejiang		1500	Culex tritaeniorhynchus	2019-11-03	2019-11-03			Yan et al	Yan,J.-Y.,Deng,X.,Sun,Y.,Yan,R.,Mao,H.-Y.,Pan,J.-H.	Center for Disease Control and Prevention of Zhejiang Province, Virus Institute
MN403072	MN403072	MN403072.1	2019-08-05	Asia	China	Zhejiang		1500	Culex tritaeniorhynchus	2019-11-03	2019-11-03			Yan et al	Yan,J.-Y.,Deng,X.,Sun,Y.,Yan,R.,Mao,H.-Y.,Pan,J.-H.	Center for Disease Control and Prevention of Zhejiang Province, Virus Institute
MN403071	MN403071	MN403071.1	2019-08-05	Asia	China	Zhejiang		1500	Culex tritaeniorhynchus	2019-11-03	2019-11-03			Yan et al	Yan,J.-Y.,Deng,X.,Sun,Y.,Yan,R.,Mao,H.-Y.,Pan,J.-H.	Center for Disease Control and Prevention of Zhejiang Province, Virus Institute
MN403070	MN403070	MN403070.1	2019-08-05	Asia	China	Zhejiang		1500	Culex tritaeniorhynchus	2019-11-03	2019-11-03			Yan et al	Yan,J.-Y.,Deng,X.,Sun,Y.,Yan,R.,Mao,H.-Y.,Pan,J.-H.	Center for Disease Control and Prevention of Zhejiang Province, Virus Institute
MN403069	MN403069	MN403069.1	2019-08-05	Asia	China	Zhejiang		1500	Culex tritaeniorhynchus	2019-11-03	2019-11-03			Yan et al	Yan,J.-Y.,Deng,X.,Sun,Y.,Yan,R.,Mao,H.-Y.,Pan,J.-H.	Center for Disease Control and Prevention of Zhejiang Province, Virus Institute
MN403068	MN403068	MN403068.1	2019-08-05	Asia	China	Zhejiang		1500	Culex tritaeniorhynchus	2019-11-03	2019-11-03			Yan et al	Yan,J.-Y.,Deng,X.,Sun,Y.,Yan,R.,Mao,H.-Y.,Pan,J.-H.	Center for Disease Control and Prevention of Zhejiang Province, Virus Institute
MN403067	MN403067	MN403067.1	2019-08-05	Asia	China	Zhejiang		1500	Culex tritaeniorhynchus	2019-11-03	2019-11-03			Yan et al	Yan,J.-Y.,Deng,X.,Sun,Y.,Yan,R.,Mao,H.-Y.,Pan,J.-H.	Center for Disease Control and Prevention of Zhejiang Province, Virus Institute
MN403066	MN403066	MN403066.1	2019-08-05	Asia	China	Zhejiang		1500	Culex tritaeniorhynchus	2019-11-03	2019-11-03			Yan et al	Yan,J.-Y.,Deng,X.,Sun,Y.,Yan,R.,Mao,H.-Y.,Pan,J.-H.	Center for Disease Control and Prevention of Zhejiang Province, Virus Institute
MN403065	MN403065	MN403065.1	2019-08-05	Asia	China	Zhejiang		1500	Culex tritaeniorhynchus	2019-11-03	2019-11-03			Yan et al	Yan,J.-Y.,Deng,X.,Sun,Y.,Yan,R.,Mao,H.-Y.,Pan,J.-H.	Center for Disease Control and Prevention of Zhejiang Province, Virus Institute
MN403064	MN403064	MN403064.1	2019-08-05	Asia	China	Zhejiang		1500	Culex tritaeniorhynchus	2019-11-03	2019-11-03			Yan et al	Yan,J.-Y.,Deng,X.,Sun,Y.,Yan,R.,Mao,H.-Y.,Pan,J.-H.	Center for Disease Control and Prevention of Zhejiang Province, Virus Institute
MN403063	MN403063	MN403063.1	2019-08-05	Asia	China	Zhejiang		1500	Culex tritaeniorhynchus	2019-11-03	2019-11-03			Yan et al	Yan,J.-Y.,Deng,X.,Sun,Y.,Yan,R.,Mao,H.-Y.,Pan,J.-H.	Center for Disease Control and Prevention of Zhejiang Province, Virus Institute
MN403062	MN403062	MN403062.1	2019-07-08	Asia	China	Zhejiang		1500	Culex tritaeniorhynchus	2019-11-03	2019-11-03			Yan et al	Yan,J.-Y.,Deng,X.,Sun,Y.,Yan,R.,Mao,H.-Y.,Pan,J.-H.	Center for Disease Control and Prevention of Zhejiang Province, Virus Institute
MN403061	MN403061	MN403061.1	2019-07-08	Asia	China	Zhejiang		1500	Culex tritaeniorhynchus	2019-11-03	2019-11-03			Yan et al	Yan,J.-Y.,Deng,X.,Sun,Y.,Yan,R.,Mao,H.-Y.,Pan,J.-H.	Center for Disease Control and Prevention of Zhejiang Province, Virus Institute
MN403060	MN403060	MN403060.1	2019-07-08	Asia	China	Zhejiang		1500	Culex tritaeniorhynchus	2019-11-03	2019-11-03			Yan et al	Yan,J.-Y.,Deng,X.,Sun,Y.,Yan,R.,Mao,H.-Y.,Pan,J.-H.	Center for Disease Control and Prevention of Zhejiang Province, Virus Institute
MN379748	MN379748	MN379748.1	2018-08-18	Asia	China	Yunnan		256	Culex tritaeniorhynchus	2020-04-26	2020-04-26			Cao et al	Cao,X.	Chinese Academy of Inspection and Quarantine, Institute of Health Quarantine
MN379747	MN379747	MN379747.1	2018-08-18	Asia	China	Yunnan		265	Culex tritaeniorhynchus	2020-04-26	2020-04-26			Cao et al	Cao,X.	Chinese Academy of Inspection and Quarantine, Institute of Health Quarantine
MN379746	MN379746	MN379746.1	2018-08-18	Asia	China	Yunnan		263	Culex tritaeniorhynchus	2020-04-26	2020-04-26			Cao et al	Cao,X.	Chinese Academy of Inspection and Quarantine, Institute of Health Quarantine
MN379745	MN379745	MN379745.1	2018-08-18	Asia	China	Yunnan		265	Culex tritaeniorhynchus	2020-04-26	2020-04-26			Cao et al	Cao,X.	Chinese Academy of Inspection and Quarantine, Institute of Health Quarantine
MN379744	MN379744	MN379744.1	2018-08-18	Asia	China	Yunnan		265	Anopheles sinensis	2020-04-26	2020-04-26			Cao et al	Cao,X.	Chinese Academy of Inspection and Quarantine, Institute of Health Quarantine
MN379743	MN379743	MN379743.1	2018-08-18	Asia	China	Yunnan		265	Culex tritaeniorhynchus	2020-04-26	2020-04-26			Cao et al	Cao,X.	Chinese Academy of Inspection and Quarantine, Institute of Health Quarantine
MN379742	MN379742	MN379742.1	2018-08-18	Asia	China	Yunnan		265	Culex tritaeniorhynchus	2020-04-26	2020-04-26			Cao et al	Cao,X.	Chinese Academy of Inspection and Quarantine, Institute of Health Quarantine
MN379741	MN379741	MN379741.1	2018-08-17	Asia	China	Yunnan		265	Culex tritaeniorhynchus	2020-04-26	2020-04-26			Cao et al	Cao,X.	Chinese Academy of Inspection and Quarantine, Institute of Health Quarantine
MN115387	MN115387	MN115387.1	2019-XX-XX	Asia	India	Odisha		387	Sus scrofa	2020-05-02	2020-05-02			Datey et al	Datey,A.,Singh,L.M.,Rajkhowa,U.,Prusty,B.K.,Saswat,T.,Mamidi,P.,Barkalita,L.M.,Dutta,R.,Sharma,K.C.,Sahoo,D.,Borah,P.,Devi,S.I.,Chattopadhyay,S.	Institute of Life Sciences, Department of Infectious Disease
MN115386	MN115386	MN115386.1	2019-XX-XX	Asia	India	Odisha		391	Sus scrofa	2020-05-02	2020-05-02			Datey et al	Datey,A.,Singh,L.M.,Rajkhowa,U.,Prusty,B.K.,Saswat,T.,Mamidi,P.,Barkalita,L.M.,Dutta,R.,Sharma,K.C.,Sahoo,D.,Borah,P.,Devi,S.I.,Chattopadhyay,S.	Institute of Life Sciences, Department of Infectious Disease
MN072907	MN072907	MN072907.1	2014-XX-XX	Asia	China			1500	Culex quinquefasciatus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072906	MN072906	MN072906.1	2012-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072905	MN072905	MN072905.1	2012-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072904	MN072904	MN072904.1	2012-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072903	MN072903	MN072903.1	2012-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072902	MN072902	MN072902.1	2012-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072901	MN072901	MN072901.1	2012-XX-XX	Asia	China			1500	Anopheles sinensis	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072900	MN072900	MN072900.1	2012-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072899	MN072899	MN072899.1	2012-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072898	MN072898	MN072898.1	2012-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072897	MN072897	MN072897.1	2012-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072896	MN072896	MN072896.1	2012-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072895	MN072895	MN072895.1	2010-XX-XX	Asia	China			1500	Culex quinquefasciatus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072894	MN072894	MN072894.1	2010-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072893	MN072893	MN072893.1	2010-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072892	MN072892	MN072892.1	2010-XX-XX	Asia	China			1500	Culex quinquefasciatus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072891	MN072891	MN072891.1	2010-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072890	MN072890	MN072890.1	2010-XX-XX	Asia	China			1500	Culex quinquefasciatus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072889	MN072889	MN072889.1	2010-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072888	MN072888	MN072888.1	2009-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072887	MN072887	MN072887.1	2009-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072886	MN072886	MN072886.1	2009-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072885	MN072885	MN072885.1	2009-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072884	MN072884	MN072884.1	2009-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072883	MN072883	MN072883.1	2009-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072882	MN072882	MN072882.1	2009-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072881	MN072881	MN072881.1	2009-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072880	MN072880	MN072880.1	2009-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072879	MN072879	MN072879.1	2009-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072878	MN072878	MN072878.1	2009-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072877	MN072877	MN072877.1	2009-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072876	MN072876	MN072876.1	2009-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072875	MN072875	MN072875.1	2008-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072874	MN072874	MN072874.1	2008-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072873	MN072873	MN072873.1	2008-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072872	MN072872	MN072872.1	2008-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072871	MN072871	MN072871.1	2008-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072870	MN072870	MN072870.1	2008-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072869	MN072869	MN072869.1	2008-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072868	MN072868	MN072868.1	2007-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072867	MN072867	MN072867.1	2005-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072866	MN072866	MN072866.1	2005-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072865	MN072865	MN072865.1	2005-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
MN072864	MN072864	MN072864.1	2005-XX-XX	Asia	China			1500	Culex tritaeniorhynchus	2021-05-10	2021-05-10			Shao et al	Shao,N.,Fu,S.,Li,F.,Zhang,W.,Wang,Q.,Lei,W.,Cao,Y.,Liang,G.,Wang,H.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis, NHC Key Laboratory of Biosafety
